prompt,wpm,avg_key_delay,total_chars,backspaces,accuracy,label
The quick brown fox jumps over the lazy dog,31.55,360.54,47,5,95.56,0
Stay focused and keep typing better,45.28,221.21,35,0,100.0,1
Everyone starts as a beginner in something,23.61,382.22,47,5,92.13,0
Never stop exploring new ideas and tools,47.14,212.58,41,0,98.77,1
Python is an easy language to learn,39.86,280.81,37,2,97.22,0
Everyone starts as a beginner in something,35.45,258.4,45,2,96.55,0
Small efforts lead to big achievements,39.88,228.29,39,1,96.1,0
The quick brown fox jumps over the lazy dog,54.75,229.07,43,0,100.0,1
Stay focused and keep typing better,41.33,237.47,36,1,98.59,1
Accuracy improves with consistent practice,24.68,284.02,43,1,98.82,0
Everyone starts as a beginner in something,44.88,213.24,42,0,100.0,1
Keyboards differ in layout and feel,38.39,249.57,37,2,97.22,0
Python is an easy language to learn,50.29,227.96,36,1,98.59,1
Keyboards differ in layout and feel,43.43,221.53,35,0,100.0,1
Everyone starts as a beginner in something,44.87,208.38,45,3,96.55,1
Small efforts lead to big achievements,34.08,250.65,42,4,95.0,0
The quick brown fox jumps over the lazy dog,52.24,228.66,45,2,97.73,1
Python is an easy language to learn,49.45,224.76,37,2,97.22,1
Everyone starts as a beginner in something,39.01,243.05,44,1,97.67,0
Typing fast is a useful skill to have,50.27,258.3,37,0,100.0,1
Machine learning models require good data,37.6,223.91,42,1,96.39,0
Accuracy improves with consistent practice,28.74,272.75,38,3,25.0,0
Python is an easy language to learn,40.24,272.76,38,3,95.89,1
Accuracy improves with consistent practice,27.41,247.75,43,1,98.82,0
Keyboards differ in layout and feel,39.08,245.37,36,1,92.96,0
Everyone starts as a beginner in something,44.65,214.99,43,0,98.82,1
Typing fast is a useful skill to have,65.69,199.15,36,0,93.15,1
Python is an easy language to learn,64.4,182.25,35,0,100.0,1
Machine learning models require good data,18.24,367.31,54,43,86.32,0
Python is an easy language to learn,52.48,217.01,36,0,98.59,1
Machine learning models require good data,37.84,224.81,42,1,98.8,0
Everyone starts as a beginner in something,47.97,201.97,43,1,98.82,1
Typing fast is a useful skill to have,54.82,201.97,43,1,37.5,0
Typing fast is a useful skill to have,62.03,208.39,37,0,100.0,1
Python is an easy language to learn,54.03,211.6,36,0,98.59,1
Small efforts lead to big achievements,36.75,256.34,38,0,97.37,0
Everyone starts as a beginner in something,48.62,203.34,42,0,100.0,1
Keyboards differ in layout and feel,53.38,185.9,35,0,100.0,1
Everyone starts as a beginner in something,43.75,223.66,43,0,96.47,1
Python is an easy language to learn,60.88,193.55,35,0,97.14,1
Keyboards differ in layout and feel,46.93,207.56,36,1,98.59,1
Keyboards differ in layout and feel,29.88,307.1,38,3,95.89,0
Keyboards differ in layout and feel,45.08,223.47,34,0,84.06,0
Everyone starts as a beginner in something,56.43,179.49,41,0,98.8,1
Everyone starts as a beginner in something,45.8,179.99,42,0,100.0,1
Never stop exploring new ideas and tools,45.55,228.9,40,0,97.5,1
Never stop exploring new ideas and tools,49.39,194.77,40,0,97.5,1
Machine learning models require good data,35.33,241.68,42,0,98.8,0
Small efforts lead to big achievements,38.07,234.09,39,1,98.7,0
Never stop exploring new ideas and tools,40.21,247.42,42,1,97.56,1
Never stop exploring new ideas and tools,40.21,247.42,42,1,97.56,1
